o,p,s
http://www.phenome-fppn.fr/diaphen/2018/o18000022,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000022,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg233
http://www.phenome-fppn.fr/diaphen/2018/o18000022,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000022,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000022,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg063
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000023,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg117
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000024,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg234
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000025,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg082
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000026,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg313
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000027,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
